condo	       6	       4.0	       0	       0	       5	       2923
coop 	       1	       1.0	       0	       0	       4	       914
coop 	       4	       2.0	       1	       1	       5	       2420
coop 	       5	       2.5	       1	       1	       3	       2843
condo	       2	       1.0	       1	       0	       3	       1473
condo	       5	       3.0	       0	       0	       3	       2476
coop 	       6	       4.0	       0	       0	       2	       2948
condo	       5	       2.5	       0	       0	       2	       2301
condo	       4	       2.0	       1	       1	       2	       2410
coop 	       4	       2.0	       1	       1	       3	       2471
condo	       2	       1.0	       1	       0	       5	       1482
coop 	       4	       3.0	       1	       0	       4	       2433
coop 	       1	       1.0	       0	       0	       3	       995
coop 	       1	       1.0	       0	       0	       2	       951
condo	       2	       1.0	       1	       0	       2	       1481
condo	       2	       1.0	       1	       0	       3	       1429
condo	       3	       1.5	       1	       0	       4	       1806
condo	       3	       2.0	       1	       1	       4	       2224
coop 	       2	       1.0	       1	       0	       2	       1450
coop 	       1	       1.0	       0	       0	       4	       920
condo	       1	       1.0	       0	       0	       4	       917
coop 	       1	       1.0	       0	       0	       2	       990
coop 	       3	       2.0	       1	       0	       2	       1916
coop 	       7	       6.0	       2	       1	       2	       4481
coop 	       2	       1.0	       1	       0	       4	       1447
condo	       6	       3.0	       1	       0	       2	       2977
coop 	       4	       2.0	       1	       0	       3	       2243
coop 	       5	       4.0	       0	       0	       3	       2727
coop 	       1	       1.0	       0	       0	       3	       935
condo	       2	       1.0	       1	       0	       4	       1438
coop 	       3	       1.5	       1	       1	       2	       2124
coop 	       2	       1.0	       1	       0	       5	       1410
condo	       4	       3.0	       1	       1	       2	       2683
coop 	       5	       4.0	       1	       0	       3	       2971
coop 	       5	       2.5	       0	       0	       3	       2374
condo	       5	       2.5	       0	       0	       5	       2280
condo	       5	       3.0	       1	       0	       3	       2748
coop 	       2	       1.0	       1	       0	       4	       1497
condo	       1	       1.0	       0	       0	       2	       964
coop 	       2	       1.0	       1	       0	       4	       1454
condo	       1	       1.0	       0	       0	       4	       961
coop 	       3	       2.0	       1	       0	       5	       1910
coop 	       4	       2.0	       1	       0	       3	       2159
condo	       2	       1.0	       1	       0	       3	       1476
condo	       4	       2.0	       1	       0	       3	       2224
condo	       2	       1.0	       1	       0	       2	       1451
coop 	       5	       2.5	       0	       0	       3	       2334
coop 	       1	       1.0	       0	       0	       4	       963
coop 	       1	       1.0	       0	       0	       3	       961
coop 	       5	       2.5	       0	       0	       2	       2359
condo	       2	       1.0	       1	       0	       4	       1473
coop 	       1	       1.0	       0	       0	       3	       921
condo	       5	       2.5	       1	       0	       3	       2592
coop 	       2	       1.0	       1	       0	       4	       1438
coop 	       1	       1.0	       0	       0	       4	       972
condo	       1	       1.0	       0	       0	       2	       939
coop 	       6	       3.0	       0	       0	       4	       2742
condo	       5	       2.5	       0	       0	       4	       2373
condo	       1	       1.0	       0	       0	       4	       993
coop 	       3	       1.5	       1	       1	       4	       2034
condo	       7	       3.5	       2	       1	       4	       3785
coop 	       6	       4.0	       0	       0	       4	       2942
condo	       3	       1.5	       1	       0	       3	       1783
condo	       3	       1.5	       1	       0	       4	       1830
coop 	       3	       1.5	       1	       0	       5	       1846
condo	       2	       1.0	       1	       0	       3	       1488
coop 	       2	       1.0	       1	       0	       4	       1474
condo	       2	       1.0	       1	       0	       5	       1434
condo	       5	       4.0	       0	       0	       3	       2671
condo	       1	       1.0	       0	       0	       3	       912
condo	       2	       1.0	       1	       0	       2	       1472
condo	       2	       1.0	       1	       0	       3	       1467
coop 	       1	       1.0	       0	       0	       3	       934
condo	       2	       1.0	       1	       0	       4	       1447
coop 	       3	       2.0	       1	       0	       2	       1909
coop 	       1	       1.0	       0	       0	       5	       929
condo	       4	       2.0	       1	       1	       4	       2460
coop 	       3	       2.0	       1	       0	       3	       1962
condo	       1	       1.0	       0	       0	       5	       971
coop 	       1	       1.0	       0	       0	       3	       903
coop 	       2	       1.0	       1	       0	       4	       1420
condo	       2	       1.0	       1	       0	       3	       1406
coop 	       4	       2.0	       1	       0	       5	       2188
condo	       2	       1.0	       1	       0	       5	       1404
condo	       4	       2.0	       1	       0	       2	       2185
coop 	       1	       1.0	       0	       0	       3	       971
coop 	       1	       1.0	       0	       0	       3	       908
coop 	       2	       1.0	       1	       0	       3	       1499
coop 	       1	       1.0	       0	       0	       4	       990
coop 	       1	       1.0	       0	       0	       4	       992
condo	       3	       1.5	       1	       0	       4	       1812
condo	       4	       2.0	       1	       0	       4	       2163
coop 	       1	       1.0	       0	       0	       4	       903
condo	       1	       1.0	       0	       0	       2	       931
coop 	       1	       1.0	       0	       0	       4	       942
condo	       6	       3.0	       0	       0	       3	       2670
condo	       7	       3.5	       2	       1	       4	       3836
condo	       2	       1.0	       1	       0	       4	       1400
coop 	       1	       1.0	       0	       0	       5	       963
coop 	       2	       1.0	       1	       0	       3	       1468
