coop 	       4	       3.0	       1	       1	       4	       2699	       3239400
condo	       1	       1.0	       0	       0	       2	       990	       1710000
condo	       4	       3.0	       1	       1	       4	       2654	       3812400
condo	       2	       1.0	       1	       0	       3	       1453	       2431800
coop 	       5	       2.5	       0	       0	       4	       2308	       2908800
condo	       1	       1.0	       0	       0	       4	       955	       1941000
condo	       2	       1.0	       1	       0	       4	       1409	       2525400
coop 	       4	       2.0	       1	       1	       4	       2494	       3020400
coop 	       1	       1.0	       0	       0	       5	       987	       1456200
condo	       1	       1.0	       0	       0	       4	       998	       1918800
coop 	       2	       1.0	       1	       0	       3	       1459	       1835400
condo	       2	       1.0	       1	       0	       4	       1411	       2478600
coop 	       1	       1.0	       0	       0	       4	       972	       1375200
coop 	       3	       1.5	       1	       0	       4	       1863	       2341800
coop 	       1	       1.0	       0	       0	       5	       967	       1504200
condo	       2	       1.0	       1	       0	       5	       1447	       2644200
condo	       5	       4.0	       1	       0	       4	       2920	       4080000
coop 	       5	       3.0	       0	       0	       4	       2438	       3070800
condo	       2	       1.0	       1	       0	       3	       1470	       2394000
coop 	       1	       1.0	       0	       0	       2	       959	       1115400
condo	       2	       1.0	       1	       0	       3	       1417	       2362200
coop 	       3	       2.0	       1	       1	       3	       2199	       2555400
condo	       1	       1.0	       0	       0	       2	       931	       1698600
coop 	       3	       2.0	       1	       0	       4	       1997	       2458200
coop 	       2	       1.0	       1	       0	       5	       1475	       2001000
coop 	       6	       4.0	       0	       0	       4	       2931	       3546600
coop 	       1	       1.0	       0	       0	       2	       989	       1109400
condo	       6	       3.0	       0	       0	       2	       2672	       3667200
coop 	       3	       1.5	       1	       0	       3	       1857	       2254200
condo	       4	       2.0	       1	       1	       4	       2400	       3636000
condo	       1	       1.0	       0	       0	       4	       937	       1894200
condo	       2	       1.0	       1	       0	       3	       1419	       2387400
coop 	       2	       1.0	       1	       0	       5	       1468	       2044800
coop 	       1	       1.0	       0	       0	       2	       978	       1126800
condo	       5	       2.5	       0	       0	       4	       2290	       3582000
coop 	       2	       1.0	       1	       0	       4	       1412	       1951200
condo	       3	       1.5	       1	       0	       4	       1859	       2975400
condo	       1	       1.0	       0	       0	       5	       935	       2073000
condo	       1	       1.0	       0	       0	       3	       927	       1780200
condo	       1	       1.0	       0	       0	       2	       934	       1724400
coop 	       2	       1.0	       1	       0	       4	       1401	       1908600
coop 	       5	       2.5	       1	       0	       5	       2556	       3297600
condo	       1	       1.0	       0	       0	       2	       911	       1650600
condo	       5	       2.5	       1	       1	       3	       2855	       3969000
coop 	       2	       1.0	       1	       0	       2	       1408	       1624800
coop 	       1	       1.0	       0	       0	       3	       910	       1218000
condo	       4	       3.0	       1	       0	       4	       2419	       3503400
coop 	       1	       1.0	       0	       0	       2	       916	       1029600
condo	       5	       2.5	       0	       0	       3	       2361	       3432600
condo	       1	       1.0	       0	       0	       2	       984	       1670400
coop 	       2	       1.0	       1	       0	       3	       1462	       1837200
condo	       4	       2.0	       1	       1	       3	       2485	       3531000
coop 	       4	       2.0	       1	       1	       2	       2460	       2844000
condo	       2	       1.0	       1	       0	       3	       1482	       2401200
condo	       1	       1.0	       0	       0	       4	       930	       1890000
coop 	       1	       1.0	       0	       0	       3	       933	       1231800
condo	       5	       2.5	       0	       0	       2	       2322	       3337200
condo	       2	       1.0	       1	       0	       3	       1419	       2423400
coop 	       2	       1.0	       1	       0	       4	       1427	       1852200
